,Bundesland,Landkreis,date,infected,log(infected+1)
3530,Sachsen,Chemnitzer Land,20-03,38.0,3.6635616461296463
3531,Sachsen,Zwickau Städte,20-03,38.0,3.6635616461296463
3532,Sachsen,Zwickauer Land,20-03,38.0,3.6635616461296463
3533,Rheinland-Pfalz,Ahrweiler,20-03,55.0,4.02535169073515
3534,Bayern,Aichach-Friedberg,20-03,15.0,2.772588722239781
3535,Baden-Württemberg,Alb-Donau,20-03,39.0,3.6888794541139363
3536,Thüringen,Altenburger Land,20-03,4.0,1.6094379124341003
3537,Rheinland-Pfalz,Altenkirchen,20-03,4.0,1.6094379124341003
3538,Bayern,Altötting,20-03,16.0,2.833213344056216
3539,Rheinland-Pfalz,Alzey-Worms,20-03,61.0,4.127134385045092
3540,Bayern,Amberg Städte,20-03,2.0,1.0986122886681098
3541,Bayern,Amberg-Sulzbach,20-03,18.0,2.9444389791664403
3542,Bayern,Ansbach,20-03,16.0,2.833213344056216
3543,Bayern,Ansbach Städte,20-03,3.0,1.3862943611198906
3544,Bayern,Aschaffenburg,20-03,39.0,3.6888794541139363
3545,Bayern,Aschaffenburg Städte,20-03,17.0,2.8903717578961645
3546,Bayern,Augsburg,20-03,47.0,3.871201010907891
3547,Bayern,Augsburg Städte,20-03,38.0,3.6635616461296463
3548,Rheinland-Pfalz,Bad Dürkheim,20-03,57.0,4.060443010546419
3549,Bayern,Bad Kissingen,20-03,14.0,2.70805020110221
3550,Rheinland-Pfalz,Bad Kreuznach,20-03,37.0,3.6375861597263857
3551,Bayern,Bad Tölz-Wolfratshausen,20-03,38.0,3.6635616461296463
3552,Baden-Württemberg,Baden-Baden Städte,20-03,21.0,3.091042453358316
3553,Bayern,Bamberg,20-03,28.0,3.367295829986474
3554,Bayern,Bamberg Städte,20-03,2.0,1.0986122886681098
3555,Brandenburg,Barnim,20-03,29.0,3.4011973816621555
3556,Bayern,Bayreuth,20-03,20.0,3.044522437723423
3557,Bayern,Bayreuth Städte,20-03,4.0,1.6094379124341003
3558,Bayern,Berchtesgadener Land,20-03,6.0,1.9459101490553132
3559,Hessen,Bergstraße,20-03,38.0,3.6635616461296463
